Using LogiBoost.


=== Predictions on test data ===

inst#     actual  predicted error prediction
1     1:spam     1:spam       0.926
2     1:spam     1:spam       0.926
3     1:spam     1:spam       0.926
4     1:spam     1:spam       0.926
5      2:ham      2:ham       0.815
6     1:spam     1:spam       0.926
7     1:spam     1:spam       0.926
8      2:ham      2:ham       0.989
9      2:ham      2:ham       0.911
10     1:spam     1:spam       0.926
11     1:spam     1:spam       0.926
12     1:spam     1:spam       0.926
13      2:ham      2:ham       0.993
14     1:spam     1:spam       0.926
15      2:ham      2:ham       0.989
16     1:spam     1:spam       0.926
17     1:spam     1:spam       0.926
18     1:spam     1:spam       0.926
19     1:spam     1:spam       0.926
20     1:spam     1:spam       0.926
21     1:spam     1:spam       0.926
22     1:spam     1:spam       0.926
23     1:spam     1:spam       0.926
24      2:ham      2:ham       0.999
25     1:spam     1:spam       0.926
26     1:spam     1:spam       0.926
27     1:spam     1:spam       0.926
28     1:spam     1:spam       0.926
29     1:spam     1:spam       0.926
30     1:spam     1:spam       0.926
31      2:ham      2:ham       0.911
32     1:spam     1:spam       0.926
33      2:ham      2:ham       0.989
34     1:spam     1:spam       0.926
35     1:spam     1:spam       0.58
36      2:ham      2:ham       0.998
37     1:spam     1:spam       0.58
38      2:ham      2:ham       0.989
39      2:ham      2:ham       0.911
40     1:spam     1:spam       0.926
41     1:spam     1:spam       0.926
42      2:ham      2:ham       0.911
43     1:spam     1:spam       0.926
44     1:spam     1:spam       0.926
45     1:spam     1:spam       0.926
46      2:ham      2:ham       0.989
47     1:spam     1:spam       0.926
48     1:spam     1:spam       0.926
49     1:spam      2:ham   +   0.953
50     1:spam     1:spam       0.926
51     1:spam     1:spam       0.926
52     1:spam     1:spam       0.926
53     1:spam     1:spam       0.926
54     1:spam     1:spam       0.926
55      2:ham      2:ham       0.989
56     1:spam     1:spam       0.926
57     1:spam     1:spam       0.926
58     1:spam     1:spam       0.926
59     1:spam     1:spam       0.926
60     1:spam     1:spam       0.926
61     1:spam     1:spam       0.926
62     1:spam     1:spam       0.926
63      2:ham      2:ham       0.989
64      2:ham      2:ham       0.989
65      2:ham      2:ham       0.989
66     1:spam     1:spam       0.926
67     1:spam     1:spam       0.926
68      2:ham      2:ham       0.997
69     1:spam     1:spam       0.926
70      2:ham      2:ham       0.999
71     1:spam     1:spam       0.926
72      2:ham     1:spam   +   0.58
73     1:spam     1:spam       0.926
74      2:ham      2:ham       0.993
75      2:ham      2:ham       0.993
