

=== Predictions on test data ===

inst#     actual  predicted error prediction
1     1:spam     1:spam       0.923
2     1:spam     1:spam       0.923
3     1:spam     1:spam       0.923
4     1:spam     1:spam       0.923
5      2:ham      2:ham       0.808
6     1:spam     1:spam       0.923
7     1:spam     1:spam       0.923
8      2:ham      2:ham       0.99
9      2:ham      2:ham       0.915
10     1:spam     1:spam       0.923
11     1:spam     1:spam       0.923
12     1:spam     1:spam       0.923
13      2:ham      2:ham       0.993
14     1:spam     1:spam       0.923
15      2:ham      2:ham       0.99
16     1:spam     1:spam       0.923
17     1:spam     1:spam       0.923
18     1:spam     1:spam       0.923
19     1:spam     1:spam       0.923
20     1:spam     1:spam       0.923
21     1:spam     1:spam       0.923
22     1:spam     1:spam       0.923
23     1:spam     1:spam       0.923
24      2:ham      2:ham       0.999
25     1:spam     1:spam       0.923
26     1:spam     1:spam       0.923
27     1:spam     1:spam       0.923
28     1:spam     1:spam       0.923
29     1:spam     1:spam       0.923
30     1:spam     1:spam       0.923
31      2:ham      2:ham       0.915
32     1:spam     1:spam       0.923
33      2:ham      2:ham       0.99
34     1:spam     1:spam       0.923
35     1:spam     1:spam       0.568
36      2:ham      2:ham       0.998
37     1:spam     1:spam       0.568
38      2:ham      2:ham       0.99
39      2:ham      2:ham       0.915
40     1:spam     1:spam       0.923
41     1:spam     1:spam       0.923
42      2:ham      2:ham       0.915
43     1:spam     1:spam       0.923
44     1:spam     1:spam       0.923
45     1:spam     1:spam       0.923
46      2:ham      2:ham       0.99
47     1:spam     1:spam       0.923
48     1:spam     1:spam       0.923
49     1:spam     1:spam       0.552
50     1:spam     1:spam       0.923
51     1:spam     1:spam       0.923
52     1:spam     1:spam       0.923
53     1:spam     1:spam       0.923
54     1:spam     1:spam       0.923
55      2:ham      2:ham       0.99
56     1:spam     1:spam       0.923
57     1:spam     1:spam       0.923
58     1:spam     1:spam       0.923
59     1:spam     1:spam       0.923
60     1:spam     1:spam       0.923
61     1:spam     1:spam       0.923
62     1:spam     1:spam       0.923
63      2:ham      2:ham       0.99
64      2:ham      2:ham       0.99
65      2:ham      2:ham       0.99
66     1:spam     1:spam       0.923
67     1:spam     1:spam       0.923
68      2:ham      2:ham       0.99
69     1:spam     1:spam       0.923
70      2:ham      2:ham       0.999
71     1:spam     1:spam       0.923
72      2:ham     1:spam   +   0.568
73     1:spam     1:spam       0.923
74      2:ham      2:ham       0.994
75      2:ham      2:ham       0.994
76     1:spam     1:spam       0.923
77     1:spam     1:spam       0.923
78     1:spam     1:spam       0.923
79      2:ham      2:ham       0.99
80     1:spam     1:spam       0.923
81     1:spam     1:spam       0.923
82     1:spam     1:spam       0.923
83     1:spam     1:spam       0.923
84     1:spam     1:spam       0.923
85     1:spam     1:spam       0.923
86     1:spam     1:spam       0.923
87     1:spam     1:spam       0.923
88     1:spam     1:spam       0.923
89     1:spam     1:spam       0.923
90     1:spam     1:spam       0.923
91     1:spam     1:spam       0.923
92     1:spam     1:spam       0.923
93     1:spam     1:spam       0.923
94     1:spam     1:spam       0.923
95     1:spam     1:spam       0.923
96     1:spam     1:spam       0.923
97     1:spam     1:spam       0.923
98     1:spam     1:spam       0.923
99     1:spam     1:spam       0.923
100     1:spam     1:spam       0.923
101     1:spam     1:spam       0.923
102     1:spam     1:spam       0.923
103     1:spam     1:spam       0.923
104     1:spam     1:spam       0.923
105     1:spam     1:spam       0.923
106     1:spam     1:spam       0.923
107     1:spam     1:spam       0.923
108      2:ham      2:ham       0.99
109     1:spam     1:spam       0.923
110      2:ham      2:ham       0.99
111      2:ham      2:ham       0.995
112     1:spam     1:spam       0.923
113     1:spam     1:spam       0.709
114     1:spam     1:spam       0.923
115     1:spam     1:spam       0.923
116      2:ham      2:ham       0.99
117      2:ham     1:spam   +   0.552
118     1:spam     1:spam       0.923
119      2:ham     1:spam   +   0.923
120     1:spam     1:spam       0.568
121     1:spam     1:spam       0.923
122     1:spam     1:spam       0.568
123     1:spam     1:spam       0.568
124     1:spam     1:spam       0.923
125     1:spam     1:spam       0.923
126     1:spam     1:spam       0.923
127     1:spam     1:spam       0.923
128     1:spam     1:spam       0.923
129     1:spam     1:spam       0.923
130     1:spam     1:spam       0.923
131     1:spam      2:ham   +   0.799
132     1:spam      2:ham   +   0.799
133     1:spam     1:spam       0.923
134     1:spam     1:spam       0.923
135      2:ham      2:ham       0.898
136     1:spam     1:spam       0.923
137     1:spam     1:spam       0.923
138     1:spam     1:spam       0.923
139     1:spam     1:spam       0.923
140     1:spam     1:spam       0.923
141     1:spam     1:spam       0.923
142     1:spam     1:spam       0.923
143     1:spam     1:spam       0.552
144     1:spam     1:spam       0.923
145     1:spam     1:spam       0.923
146     1:spam     1:spam       0.923
147     1:spam     1:spam       0.923
148     1:spam     1:spam       0.923
149      2:ham      2:ham       0.995
150     1:spam     1:spam       0.923
151      2:ham      2:ham       0.99
152     1:spam     1:spam       0.923
153      2:ham      2:ham       0.994
154     1:spam     1:spam       0.923
155      2:ham      2:ham       0.962
156      2:ham      2:ham       0.962
157      2:ham     1:spam   +   0.923
158     1:spam     1:spam       0.923
159     1:spam     1:spam       0.923
160     1:spam     1:spam       0.923
161     1:spam     1:spam       0.923
162     1:spam     1:spam       0.923
163     1:spam     1:spam       0.923
164     1:spam     1:spam       0.923
165      2:ham      2:ham       0.871
166     1:spam     1:spam       0.923
167     1:spam     1:spam       0.923
168     1:spam     1:spam       0.923
169      2:ham      2:ham       0.99
170     1:spam     1:spam       0.923
171     1:spam     1:spam       0.923
172     1:spam     1:spam       0.923
173      2:ham      2:ham       0.83
174     1:spam     1:spam       0.923
175     1:spam     1:spam       0.923
176     1:spam     1:spam       0.709
177     1:spam     1:spam       0.709
178     1:spam     1:spam       0.666
